Date,Close(ACN),_Returns_ACN,,Close(S&P500),Returns_S&p,,,
11/23/2020,250.119995,0.013273657,,3638.350098,0.016702631,,,
11/30/2020,253.440002,-0.030026831,,3699.120117,-0.009640172,,,
12/7/2020,245.830002,0.083065524,,3663.459961,0.012542774,,,
12/14/2020,266.25,-0.033615069,,3709.409912,-0.001711823,,,
12/21/2020,257.299988,0.015196281,,3703.060059,0.01431519,,,
12/28/2020,261.209991,0.011293645,,3756.070068,0.018266396,,,
1/4/2021,264.160004,-0.03978653,,3824.679932,-0.014754158,,,
1/11/2021,253.649994,0.004415573,,3768.25,0.019430763,,,
1/18/2021,254.770004,-0.050437672,,3841.469971,-0.033120129,,,
1/25/2021,241.919998,0.048032387,,3714.23999,0.046467134,,,
2/1/2021,253.539993,0.015500545,,3886.830078,0.012349395,,,
2/8/2021,257.470001,-0.012350985,,3934.830078,-0.007146463,,,
2/15/2021,254.289993,-0.013331232,,3906.709961,-0.024460495,,,
2/22/2021,250.899994,-0.005540052,,3811.149902,0.008078937,,,
3/1/2021,249.509995,0.061881357,,3841.939941,0.026392955,,,
3/8/2021,264.950012,-0.004415976,,3943.340088,-0.007668623,,,
3/15/2021,263.779999,0.064409698,,3913.100098,0.015701091,,,
3/22/2021,280.769989,-0.008654746,,3974.540039,0.011405113,,,
3/29/2021,278.339996,0.033663847,,4019.870117,0.027097813,,,
4/5/2021,287.709991,-0.002606792,,4128.799805,0.013725638,,,
4/12/2021,286.959991,0.016657371,,4185.470215,-0.001266355,,,
4/19/2021,291.73999,-0.006067009,,4180.169922,0.000239225,,,
4/26/2021,289.970001,0.00537986,,4181.169922,0.012300427,,,
5/3/2021,291.529999,-0.011422451,,4232.600098,-0.013880357,,,
5/10/2021,288.200012,-0.01672452,,4173.850098,-0.004310225,,,
5/17/2021,283.380005,-0.004305177,,4155.859863,0.011610112,,,
5/24/2021,282.160004,0.003579561,,4204.109863,0.00613216,,,
5/31/2021,283.170013,0.007451305,,4229.890137,0.004148998,,,
6/7/2021,285.279999,-0.014126469,,4247.439941,-0.019067897,,,
6/14/2021,281.25,0.047680014,,4166.450195,0.027421425,,,
6/21/2021,294.660004,0.034548265,,4280.700195,0.016735498,,,
6/28/2021,304.839996,0.025521582,,4352.339844,0.003954186,,,
7/5/2021,312.619995,-0.002271099,,4369.549805,-0.009701148,,,
7/12/2021,311.910004,0.021608765,,4327.160156,0.019557835,,,
7/19/2021,318.649994,-0.003044095,,4411.790039,-0.00374684,,,
